189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 188 ms, execution time: 94 ms, waiting time: 94, processed by server 4)
53444559 getPopulationofCountry Pakistan Zone:1 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 1)
53444559 getPopulationofCountry Pakistan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 265 ms, execution time: 93 ms, waiting time: 172, processed by server 5)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 187 ms, execution time: 94 ms, waiting time: 93, processed by server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 275 ms, execution time: 92 ms, waiting time: 183, processed by server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 184 ms, execution time: 91 ms, waiting time: 93, processed by server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:5 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 5)
233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 3)
16212029 getPopulationofCountry Thailand Zone:1 (turnaround time: 275 ms, execution time: 93 ms, waiting time: 182, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
62864801 getPopulationofCountry Turkey Zone:4 (turnaround time: 277 ms, execution time: 92 ms, waiting time: 185, processed by server 5)
8434068 getPopulationofCountry Greece Zone:2 (turnaround time: 185 ms, execution time: 94 ms, waiting time: 91, processed by server 2)
2972660 getPopulationofCountry Slovakia Zone:3 (turnaround time: 187 ms, execution time: 93 ms, waiting time: 94, processed by server 3)
2972660 getPopulationofCountry Slovakia Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
7301292 getPopulationofCountry Switzerland Zone:3 (turnaround time: 265 ms, execution time: 93 ms, waiting time: 172, processed by server 5)
2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 2)
2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
7515477 getPopulationofCountry Kenya Zone:1 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:4 (turnaround time: 277 ms, execution time: 92 ms, waiting time: 185, processed by server 5)
6275101 getPopulationofCountry Guatemala Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
718740 getPopulationofCountry Gambia Zone:1 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 1)
22244641 getPopulationofCountry Romania Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
4797337 getPopulationofCountry Serbia Zone:3 (turnaround time: 263 ms, execution time: 92 ms, waiting time: 171, processed by server 5)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 275 ms, execution time: 92 ms, waiting time: 183, processed by server 5)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
6275101 getPopulationofCountry Guatemala Zone:1 (turnaround time: 187 ms, execution time: 93 ms, waiting time: 94, processed by server 1)
7515477 getPopulationofCountry Kenya Zone:3 (turnaround time: 276 ms, execution time: 92 ms, waiting time: 184, processed by server 5)
8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 5)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 275 ms, execution time: 91 ms, waiting time: 184, processed by server 5)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 182 ms, execution time: 90 ms, waiting time: 92, processed by server 1)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 182 ms, execution time: 91 ms, waiting time: 91, processed by server 2)
89944321 getPopulationofCountry Mexico Zone:5 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 5)
89944321 getPopulationofCountry Mexico Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
9269384 getPopulationofCountry Sweden Zone:2 (turnaround time: 187 ms, execution time: 93 ms, waiting time: 94, processed by server 2)
3628180 getPopulationofCountry Uganda Zone:4 (turnaround time: 182 ms, execution time: 90 ms, waiting time: 92, processed by server 4)
183952128 getPopulationofCountry United States Zone:4 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 187 ms, execution time: 92 ms, waiting time: 95, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
62864801 getPopulationofCountry Turkey Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
7301292 getPopulationofCountry Switzerland Zone:5 (turnaround time: 185 ms, execution time: 94 ms, waiting time: 91, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 2)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 183 ms, execution time: 91 ms, waiting time: 92, processed by server 5)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 183 ms, execution time: 91 ms, waiting time: 92, processed by server 4)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 5)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 4)
95951597 getPopulationofCountry Japan Zone:5 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 5)
95951597 getPopulationofCountry Japan Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
184225 getPopulationofCountry Guam Zone:1 (turnaround time: 184 ms, execution time: 94 ms, waiting time: 90, processed by server 1)
1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 2)
374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 1)
62864801 getPopulationofCountry Turkey Zone:5 (turnaround time: 182 ms, execution time: 91 ms, waiting time: 91, processed by server 5)
3628180 getPopulationofCountry Uganda Zone:3 (turnaround time: 184 ms, execution time: 91 ms, waiting time: 93, processed by server 3)
31048782 getPopulationofCountry Canada Zone:5 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 5)
31048782 getPopulationofCountry Canada Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
3939407 getPopulationofCountry Nepal Zone:2 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 2)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 5)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 184 ms, execution time: 91 ms, waiting time: 93, processed by server 4)
15142000 getPopulationofCountry Belgium Zone:2 (turnaround time: 181 ms, execution time: 90 ms, waiting time: 91, processed by server 2)
15142000 getPopulationofCountry Belgium Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
4797337 getPopulationofCountry Serbia Zone:5 (turnaround time: 189 ms, execution time: 94 ms, waiting time: 95, processed by server 5)
53386217 getPopulationofCountry Philippines Zone:1 (turnaround time: 186 ms, execution time: 94 ms, waiting time: 92, processed by server 1)
7325831 getPopulationofCountry Bolivia Zone:1 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 184 ms, execution time: 90 ms, waiting time: 94, processed by server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
9269384 getPopulationofCountry Sweden Zone:4 (turnaround time: 189 ms, execution time: 94 ms, waiting time: 95, processed by server 4)
67716004 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 3)
3939407 getPopulationofCountry Nepal Zone:3 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 3)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 5)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
3226299 getPopulationofCountry Honduras Zone:3 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 3)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 4)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
183952128 getPopulationofCountry United States Zone:5 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 5)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 5)
6275101 getPopulationofCountry Guatemala Zone:5 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
57898650 getPopulationofCountry Indonesia Zone:2 (turnaround time: 186 ms, execution time: 93 ms, waiting time: 93, processed by server 2)
2420881 getPopulationofCountry Panama Zone:1 (turnaround time: 187 ms, execution time: 91 ms, waiting time: 96, processed by server 1)
3982679 getPopulationofCountry Paraguay Zone:3 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 3)
3156873 getPopulationofCountry Norway Zone:5 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 5)
3156873 getPopulationofCountry Norway Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 1)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 2)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 2)
184225 getPopulationofCountry Guam Zone:5 (turnaround time: 186 ms, execution time: 95 ms, waiting time: 91, processed by server 5)
3895983 getPopulationofCountry Ireland Zone:3 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 3)
3895983 getPopulationofCountry Ireland Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
374575 getPopulationofCountry Guadeloupe Zone:4 (turnaround time: 187 ms, execution time: 93 ms, waiting time: 94, processed by server 4)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:2 (turnaround time: 183 ms, execution time: 92 ms, waiting time: 91, processed by server 2)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 185 ms, execution time: 95 ms, waiting time: 90, processed by server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 5)
3122947 getPopulationofCountry Croatia Zone:2 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 2)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 4)
361020 getPopulationofCountry Comoros Zone:3 (turnaround time: 188 ms, execution time: 94 ms, waiting time: 94, processed by server 3)
2420881 getPopulationofCountry Panama Zone:3 (turnaround time: 184 ms, execution time: 92 ms, waiting time: 92, processed by server 3)
2420881 getPopulationofCountry Panama Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
1873246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 187 ms, execution time: 93 ms, waiting time: 94, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 186 ms, execution time: 94 ms, waiting time: 92, processed by server 3)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 3)
44135 getPopulationofCountry Greenland Zone:1 (turnaround time: 183 ms, execution time: 92 ms, waiting time: 91, processed by server 1)
2579609 getPopulationofCountry Oman Zone:1 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 1)
2579609 getPopulationofCountry Oman Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0, processed by server 1)
3628180 getPopulationofCountry Uganda Zone:1 (turnaround time: 186 ms, execution time: 94 ms, waiting time: 92, processed by server 1)
57898650 getPopulationofCountry Indonesia Zone:4 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 4)
7089788 getPopulationofCountry Belarus Zone:3 (turnaround time: 182 ms, execution time: 92 ms, waiting time: 90, processed by server 3)
